epoch,loss,lr,random_baseline_loss,loss_minus_random_baseline,seconds,total_seconds
1,5.508234024047852,0.029992598405485973,5.541263545158426,-0.03302952111057422,498.3305525779724,498.33155155181885
2,5.418437242507935,0.029970400926424074,5.541263545158426,-0.12282630265049121,490.873642206192,989.7571902275085
3,5.336252212524414,0.029933429469046202,5.541263545158426,-0.20501133263401172,490.241925239563,1480.582114458084
4,5.191637277603149,0.029881720519717173,5.541263545158426,-0.34962626755527637,490.29633593559265,1971.4584505558014
5,5.227495908737183,0.02981532510892707,5.541263545158426,-0.31376763642124317,491.27666330337524,2463.2931134700775
6,5.089653253555298,0.029734308760930334,5.541263545158426,-0.45161029160312793,489.90313816070557,2953.591253757477
7,5.035471200942993,0.029638751429081213,5.541263545158426,-0.5057923442154326,490.65045142173767,3444.804705142975
8,5.042113542556763,0.029528747416929468,5.541263545158426,-0.4991500026016631,490.3881914615631,3935.7534539699554
9,5.025936126708984,0.02940440528515415,5.541263545158426,-0.5153274184494414,490.5932536125183,4426.737642049789
10,4.764954328536987,0.029265847744427306,5.541263545158426,-0.7763092166214385,491.2658441066742,4918.588422298431
11,4.7982258796691895,0.029113211534313385,5.541263545158426,-0.7430376654892363,488.9454221725464,5408.131778001785
12,4.654145240783691,0.028946647288323774,5.541263545158426,-0.8871183043747344,485.59889674186707,5894.045019388199
13,4.547182559967041,0.02876631938525972,5.541263545158426,-0.9940809851913848,486.68172097206116,6381.319923877716
14,4.476957559585571,0.028572405786990298,5.541263545158426,-1.0643059855728545,486.1946086883545,6868.075463294983
15,4.3615546226501465,0.02836509786282552,5.541263545158426,-1.1797089225082793,485.2948203086853,7353.961596727371
16,4.356189966201782,0.028144600200657958,5.541263545158426,-1.1850735789566436,488.19969153404236,7842.717029094696
17,4.191684722900391,0.027911130405059163,5.541263545158426,-1.3495788222580352,485.9955458641052,8329.295844316483
18,4.1166157722473145,0.027664918882530233,5.541263545158426,-1.4246477729111113,486.7338709831238,8816.572715759277
19,4.070350170135498,0.027406208614118435,5.541263545158426,-1.4709133750229277,485.5375850200653,9302.763237714767
20,3.9591312408447266,0.02713525491562422,5.541263545158426,-1.5821323043136992,485.90926361083984,9789.244938611984
21,4.058756232261658,0.026852325185635365,5.541263545158426,-1.482507312896768,488.079705953598,10277.880050420761
22,4.097585082054138,0.026557698641636845,5.541263545158426,-1.4436784631042876,486.38674902915955,10764.57073688507
23,3.8833025693893433,0.0262516660444569,5.541263545158426,-1.6579609757690825,484.17100739479065,11249.071741104126
24,3.7691338062286377,0.02593452941132118,5.541263545158426,-1.772129738929788,485.80736470222473,11735.490471601486
25,3.7117661237716675,0.025606601717798216,5.541263545158426,-1.8294974213867583,483.46892285346985,12219.543390750885
26,3.777051568031311,0.025268206588930336,5.541263545158426,-1.7642119771271147,486.0558772087097,12706.194264411926
27,3.620521306991577,0.024919677979854785,5.541263545158426,-1.9207422381668486,486.05260825157166,13192.588228225708
28,3.767084836959839,0.024561359846230355,5.541263545158426,-1.774178708198587,485.6080241203308,13678.944849014282
29,3.4153404235839844,0.024193605804794658,5.541263545158426,-2.1259231215744414,484.6289527416229,14163.899245738983
30,3.38496732711792,0.023816778784387108,5.541263545158426,-2.156296218040506,503.1658835411072,14667.647496700287
31,3.4505759477615356,0.02343125066778197,5.541263545158426,-2.09068759739689,507.0493538379669,15175.318853139877
32,3.2376686334609985,0.023037401924684956,5.541263545158426,-2.3035949116974272,486.067902803421,15661.707756757736
33,3.320555567741394,0.02263562123625558,5.541263545158426,-2.2207079774170317,485.63518142700195,16147.921378135681
34,3.312168598175049,0.02222630511152574,5.541263545158426,-2.229094946983377,486.4560306072235,16634.705817461014
35,3.330574154853821,0.02180985749609321,5.541263545158426,-2.210689390304605,488.0885236263275,17123.11534333229
36,3.1052472591400146,0.021386689373476098,5.541263545158426,-2.436016286018411,487.1382029056549,17610.56184387207
37,2.963122606277466,0.020957218359521718,5.541263545158426,-2.57814093888096,490.1070740222931,18101.282837867737
38,2.953685164451599,0.02052186829027018,5.541263545158426,-2.5875783807068267,486.2998583316803,18588.144636392593
39,2.827873110771179,0.02008106880367938,5.541263545158426,-2.7133904343872466,487.66260981559753,19076.453595399857
40,2.955182909965515,0.01963525491562422,5.541263545158426,-2.5860806351929106,483.0555169582367,19560.175111055374
41,2.8052958250045776,0.019184866590588448,5.541263545158426,-2.735967720153848,518.6314899921417,20079.151966571808
42,2.8669708967208862,0.018730348307472826,5.541263545158426,-2.6742926484375396,509.4501485824585,20589.21520280838
43,2.858222723007202,0.018272148620948146,5.541263545158426,-2.6830408221512236,533.9394166469574,21123.489043951035
44,2.890114903450012,0.017810719718785877,5.541263545158426,-2.6511486417084136,497.4154658317566,21621.229509592056
45,2.7797473669052124,0.01734651697560347,5.541263545158426,-2.7615161782532134,492.8605182170868,22114.362423419952
46,2.579069137573242,0.016879998503464572,5.541263545158426,-2.9621944075851836,508.90259981155396,22623.88786172867
47,2.6337502002716064,0.016411624699777718,5.541263545158426,-2.9075133448868193,488.7706184387207,23113.215930461884
