epoch,loss,lr,random_baseline_loss,loss_minus_random_baseline,seconds,total_seconds
1,5.515313148498535,0.029992598405485973,5.541263545158426,-0.02595039665989063,460.6312835216522,460.6322829723358
2,5.404635667800903,0.029970400926424074,5.541263545158426,-0.13662787735752246,451.63271498680115,912.9613854885101
3,5.28178334236145,0.029933429469046202,5.541263545158426,-0.2594802027969756,448.06405329704285,1361.6763744354248
4,5.177109718322754,0.029881720519717173,5.541263545158426,-0.3641538268356719,448.6270360946655,1810.8611130714417
5,5.183232069015503,0.02981532510892707,5.541263545158426,-0.35803147614292286,450.41543102264404,2262.0079321861267
6,5.142094612121582,0.029734308760930334,5.541263545158426,-0.39916893303684375,444.779550075531,2707.1384794712067
7,5.075678825378418,0.029638751429081213,5.541263545158426,-0.4655847197800078,447.8499183654785,3155.5513956546783
8,4.981621503829956,0.029528747416929468,5.541263545158426,-0.5596420413284697,444.1198844909668,3600.2378566265106
9,4.8759472370147705,0.02940440528515415,5.541263545158426,-0.6653163081436553,445.05786871910095,4045.8497252464294
10,4.8388636112213135,0.029265847744427306,5.541263545158426,-0.7023999339371123,448.19399905204773,4494.595103025436
11,4.79876446723938,0.029113211534313385,5.541263545158426,-0.7424990779190459,446.0817334651947,4941.249236345291
12,4.732929229736328,0.028946647288323774,5.541263545158426,-0.8083343154220977,445.9439311027527,5387.81748008728
13,4.744157791137695,0.02876631938525972,5.541263545158426,-0.7971057540207305,446.6238317489624,5834.999836921692
14,4.652605056762695,0.028572405786990298,5.541263545158426,-0.8886584883957305,445.91178035736084,6281.21061873436
15,4.611934423446655,0.02836509786282552,5.541263545158426,-0.9293291217117705,445.7229208946228,6727.501540184021
16,4.528001308441162,0.028144600200657958,5.541263545158426,-1.0132622367172637,445.3622443675995,7173.423166036606
17,4.605824947357178,0.027911130405059163,5.541263545158426,-0.935438597801248,447.24174547195435,7621.227595567703
18,4.547260522842407,0.027664918882530233,5.541263545158426,-0.9940030223160186,450.98542046546936,8072.518014431
19,4.427816152572632,0.027406208614118435,5.541263545158426,-1.113447392585794,445.43661642074585,8518.261628866196
20,4.303631544113159,0.02713525491562422,5.541263545158426,-1.2376320010452666,447.32559847831726,8966.322051763535
21,4.204469203948975,0.026852325185635365,5.541263545158426,-1.3367943412094512,447.2005178928375,9414.105952739716
22,4.110407114028931,0.026557698641636845,5.541263545158426,-1.4308564311294951,447.58610439300537,9862.270803451538
23,4.152598857879639,0.0262516660444569,5.541263545158426,-1.3886646872787871,447.0055811405182,10309.869381904602
24,4.112542152404785,0.02593452941132118,5.541263545158426,-1.4287213927536406,444.7853548526764,10754.986188650131
25,4.074601650238037,0.025606601717798216,5.541263545158426,-1.4666618949203887,449.3168947696686,11204.618079662323
